name,nameWithOwner,url,stars,createdAt,updatedAt,language,releases,mergedPRs,issues_total,issues_closed,issues_closed_ratio
ionic-framework,ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,52383,2013-08-20T23:06:02Z,2026-03-04T21:11:59Z,TypeScript,930,6516,22139,21544,0.9731243506933466
Free-Certifications,cloudcommunity/Free-Certifications,https://github.com/cloudcommunity/Free-Certifications,52278,2020-07-31T10:26:19Z,2026-03-04T22:34:48Z,,0,115,65,19,0.2923076923076923
Docker-OSX,sickcodes/Docker-OSX,https://github.com/sickcodes/Docker-OSX,52226,2020-06-04T11:01:37Z,2026-03-04T17:09:11Z,Shell,0,109,681,287,0.42143906020558003
Ghost,TryGhost/Ghost,https://github.com/TryGhost/Ghost,51960,2013-05-04T11:09:13Z,2026-03-04T22:47:17Z,JavaScript,953,15670,7219,7153,0.9908574594819227
typst,typst/typst,https://github.com/typst/typst,51782,2019-09-24T21:41:56Z,2026-03-04T21:53:32Z,Rust,27,2233,4054,2958,0.7296497286630489
PowerShell,PowerShell/PowerShell,https://github.com/PowerShell/PowerShell,51738,2016-01-13T23:41:35Z,2026-03-04T23:08:23Z,C#,193,8063,13320,12138,0.9112612612612613
prettier,prettier/prettier,https://github.com/prettier/prettier,51726,2016-11-29T17:13:37Z,2026-03-04T19:52:32Z,JavaScript,134,9665,7179,5980,0.832985095417189
v2rayNG,2dust/v2rayNG,https://github.com/2dust/v2rayNG,51670,2019-05-15T02:15:31Z,2026-03-04T22:54:41Z,Kotlin,282,541,3689,3684,0.9986446191379778
etcd,etcd-io/etcd,https://github.com/etcd-io/etcd,51605,2013-07-06T21:57:21Z,2026-03-04T19:58:00Z,Go,272,10219,7120,7007,0.9841292134831461
grok-1,xai-org/grok-1,https://github.com/xai-org/grok-1,51531,2024-03-17T08:53:38Z,2026-03-04T18:48:41Z,Python,0,5,0,0,0
guava,google/guava,https://github.com/google/guava,51478,2014-05-29T16:23:17Z,2026-03-04T20:35:11Z,Java,57,1194,3648,3029,0.8303179824561403
termux-app,termux/termux-app,https://github.com/termux/termux-app,51475,2015-10-23T09:42:46Z,2026-03-04T21:17:03Z,Java,95,177,3024,2592,0.8571428571428571
awesome-ios,vsouza/awesome-ios,https://github.com/vsouza/awesome-ios,51454,2014-07-10T16:03:45Z,2026-03-04T22:34:55Z,Swift,0,2240,493,490,0.9939148073022313
jekyll,jekyll/jekyll,https://github.com/jekyll/jekyll,51421,2008-10-20T06:29:03Z,2026-03-04T08:26:52Z,Ruby,112,3197,4925,4798,0.9742131979695432
coolify,coollabsio/coolify,https://github.com/coollabsio/coolify,51365,2021-01-25T20:54:01Z,2026-03-04T23:02:07Z,PHP,665,2302,3462,2882,0.8324667822068169
Semantic-UI,Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI,51140,2013-04-08T23:32:04Z,2026-03-04T19:17:18Z,JavaScript,154,356,6235,5269,0.8450681635926223
chinese-poetry,chinese-poetry/chinese-poetry,https://github.com/chinese-poetry/chinese-poetry,51016,2016-09-02T03:32:25Z,2026-03-04T18:47:25Z,JavaScript,1,137,213,92,0.431924882629108
DefinitelyTyped,DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,51009,2012-10-05T16:39:45Z,2026-03-04T20:25:55Z,TypeScript,1,52948,8109,7543,0.9302010112220989
Motrix,agalwood/Motrix,https://github.com/agalwood/Motrix,50967,2018-12-18T11:45:05Z,2026-03-04T17:22:20Z,JavaScript,21,192,1354,597,0.44091580502215655
go-ethereum,ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,50892,2013-12-26T13:05:46Z,2026-03-04T20:56:36Z,Go,228,8777,8635,8447,0.9782281412854661
awesome-wechat-weapp,justjavac/awesome-wechat-weapp,https://github.com/justjavac/awesome-wechat-weapp,50575,2016-09-22T20:04:48Z,2026-03-04T17:26:40Z,,0,278,0,0,0
hiring-without-whiteboards,poteto/hiring-without-whiteboards,https://github.com/poteto/hiring-without-whiteboards,50474,2017-03-15T05:09:01Z,2026-03-04T22:55:05Z,JavaScript,0,1309,0,0,0
professional-programming,charlax/professional-programming,https://github.com/charlax/professional-programming,50406,2015-11-07T05:07:52Z,2026-03-04T21:57:51Z,Python,0,43,32,32,1.0
windows,dockur/windows,https://github.com/dockur/windows,50211,2024-01-14T13:09:40Z,2026-03-04T21:18:35Z,Shell,119,518,981,881,0.8980632008154944
bulma,jgthms/bulma,https://github.com/jgthms/bulma,50058,2016-01-23T23:48:34Z,2026-03-04T17:02:41Z,CSS,22,646,2743,2403,0.8760481224936201
Flowise,FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,50036,2023-03-31T12:23:09Z,2026-03-04T23:08:27Z,TypeScript,80,1566,2506,1870,0.7462090981644054
lazydocker,jesseduffield/lazydocker,https://github.com/jesseduffield/lazydocker,49972,2019-05-18T08:53:50Z,2026-03-04T22:01:20Z,Go,45,191,397,204,0.5138539042821159
MoneyPrinterTurbo,harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,49871,2024-03-11T02:57:34Z,2026-03-04T22:40:45Z,Python,9,145,616,400,0.6493506493506493
100-Days-Of-ML-Code,Avik-Jain/100-Days-Of-ML-Code,https://github.com/Avik-Jain/100-Days-Of-ML-Code,49757,2018-07-05T09:11:43Z,2026-03-04T17:42:48Z,,0,6,0,0,0
mastodon,mastodon/mastodon,https://github.com/mastodon/mastodon,49707,2016-02-22T15:01:25Z,2026-03-04T19:46:12Z,Ruby,327,19143,12735,8545,0.6709854731056144
cypress,cypress-io/cypress,https://github.com/cypress-io/cypress,49593,2015-03-04T00:46:28Z,2026-03-04T17:20:04Z,TypeScript,387,8070,15320,14104,0.9206266318537859
hacker-scripts,NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,49428,2015-11-21T19:05:09Z,2026-03-04T16:41:03Z,JavaScript,0,63,104,68,0.6538461538461539
odoo,odoo/odoo,https://github.com/odoo/odoo,49300,2014-05-13T15:38:58Z,2026-03-04T23:02:39Z,Python,0,6182,18810,15253,0.8108984582668793
lx-music-desktop,lyswhut/lx-music-desktop,https://github.com/lyswhut/lx-music-desktop,49123,2019-08-14T14:31:08Z,2026-03-04T22:07:15Z,TypeScript,112,88,2351,1273,0.5414717141641855
alist,AlistGo/alist,https://github.com/AlistGo/alist,49100,2020-12-23T17:40:29Z,2026-03-04T17:00:44Z,Go,143,899,4433,3886,0.8766072637040379
open-source-ios-apps,dkhamsing/open-source-ios-apps,https://github.com/dkhamsing/open-source-ios-apps,49093,2015-01-26T23:32:34Z,2026-03-04T23:04:45Z,,37,1542,333,333,1.0
jellyfin,jellyfin/jellyfin,https://github.com/jellyfin/jellyfin,49039,2018-12-09T06:36:45Z,2026-03-04T21:06:04Z,C#,102,5175,8188,7557,0.9229360039081583
json,nlohmann/json,https://github.com/nlohmann/json,49020,2013-07-04T08:47:49Z,2026-03-04T22:16:36Z,C++,45,1007,2367,2330,0.9843683988170681
dbeaver,dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,48936,2015-10-21T08:26:28Z,2026-03-04T22:47:47Z,Java,243,6725,20010,16845,0.8418290854572713
huginn,huginn/huginn,https://github.com/huginn/huginn,48803,2013-03-10T06:00:31Z,2026-03-04T18:31:28Z,Ruby,1,1056,2179,1576,0.7232675539238183
mem0,mem0ai/mem0,https://github.com/mem0ai/mem0,48711,2023-06-20T08:58:36Z,2026-03-04T22:52:16Z,Python,273,1819,1396,938,0.671919770773639
query,TanStack/query,https://github.com/TanStack/query,48696,2019-09-10T19:23:58Z,2026-03-04T18:50:16Z,TypeScript,1000,3200,2272,2203,0.9696302816901409
dayjs,iamkun/dayjs,https://github.com/iamkun/dayjs,48575,2018-04-10T09:26:44Z,2026-03-04T17:08:07Z,JavaScript,125,715,1825,867,0.47506849315068495
winutil,ChrisTitusTech/winutil,https://github.com/ChrisTitusTech/winutil,48542,2022-04-28T02:25:19Z,2026-03-04T23:02:33Z,PowerShell,34,1065,2146,2141,0.9976700838769804
julia,JuliaLang/julia,https://github.com/JuliaLang/julia,48529,2011-04-21T07:01:50Z,2026-03-04T20:27:13Z,Julia,195,26876,25834,21989,0.8511651312224201
RxJava,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,48487,2013-01-08T20:11:48Z,2026-03-04T13:20:44Z,Java,243,3377,3181,3167,0.995598868280415
